title,description,content
Duke won t play in March Madness after university suspends sports competition,Five time national champion Duke University will not play in the NCAA men s basketball tournament because of coronavirus concerns the school announced Thursday , CNN Five time national champion Duke University will not play in the NCAA men s basketball tournament because of coronavirus concerns the school announced Thursday The private university in Durham North Carolina is suspending its sports programs for th 904 chars 
Watch as Peyton Manning crashes online college class,NFL legend Peyton Manning surprised students by joining an online Zoom class at his alma mater the University of Tennessee ,Chat with us in Facebook Messenger Find out what s happening in the world as it unfolds 
How to Stop Procrastinating With Behavior Scientist BJ Fogg,Do you put things off til the last minute Are you one of the millions who tend to delay getting to your to do list Then you re in luck behavior scientist BJ Fogg joins us on this episode to talk about how to stop procrastinating thanks to his researched ap ,Do you put things off til the last minute Are you one of the millions who tend to delay getting to your to do list Then youre in luckbehavior scientist BJ Fogg joins us on this episode to talk about how to stop procrastinating thanks to his researched appro 1947 chars 
COVID 19 spurs calls to reduce traffic in Toronto hospitals Global News,COVID 19 spurs calls to reduce traffic in Toronto hospitals Global News FUREY It seems the public health system really is working in Canada for now Toronto Sun Risk of coronavirus remains low Chirico The North Bay Nugget Toronto man who returned from Swi ,With the number of positive cases of COVID 19 continuing to grow especially in the Toronto region preparations are underway to quell the possibility of infection spread within health facilities Canadas first positive case of COVID 19 saw the patient atten 2814 chars 
Bars near one university are giving women a secret way to signal if they feel unsafe,The Florida Atlantic University Student Government created posters to hang in local bars and restaurants to give women a secret way to alert bartenders if they re in danger or on an uncomfortable date ,
Canada coronavirus deaths jump by 35 in less than a day Toronto Sun,OTTAWA MONTREAL Canada s death toll from the coronavirus outbreak jumped by 35 to 89 in less than a day officials said on Tuesday and the major province of Quebec said it was runni ,OTTAWA MONTREAL Canada s death toll from the coronavirus outbreak jumped by 35 to 89 in less than a day officials said on Tuesday and the major province of Quebec said it was running low on key medical equipment Ottawa said it would spend 2 billion to 2226 chars 
Do you think you have coronavirus symptoms Here s who to call first Global News,Do you think you have coronavirus symptoms Here s who to call first Global News Losing our touch Some alternative greetings amid coronavirus fears Toronto Star 4 more positive cases of COVID 19 discovered in Ontario CBC ca Three new cases of COVID 19 confir ,As of March 6 a total of 45 confirmed cases of COVID 19 have been confirmed in Canada with most occurring in Ontario and B C Health officials are continuing to grapple with the new cases and are preparing for the possibility of an outbreak similar to the 6293 chars 
Toronto stock market posts first back to back rally since COVID 19 crisis CP24 Toronto s Breaking News,Canada s main stock index posted its first back to back rally since the COVID 19 crisis began to hit stocks last month as stimulus measures appear set to become a reality in Canada and the U S ,TORONTO Canada s main stock index posted its first back to back rally since the COVID 19 crisis began to hit stocks last month as stimulus measures appear set to become a reality in Canada and the U S The TSX was the prime beneficiary and led the global c 3718 chars 
Canada s top doctor says country ready with co ordinated response to COVID 19 CTV News,A Canadian patient newly diagnosed with COVID 19 recently travelled to Las Vegas and used public transit in Toronto for several days before he was tested for the virus says the Toronto public health authority ,OTTAWA A Canadian patient newly diagnosed with COVID 19 recently travelled to Las Vegas and used public transit in Toronto for several days before he was tested for the virus says the Toronto public health authority The man who is in his 40s was one 5629 chars 
What you need to know about the Quarantine Act as isolation becomes mandatory for returning travellers CTV News,What you need to know about the Quarantine Act as isolation becomes mandatory for returning travellers CTV News Strict new mandatory quarantine rules come into effect at midnight for returning Canadians CBC ca What you need to know about the Quarantine Act To ,Canada is making unprecedented use of the federal Quarantine Act in a bid to curb the spread of the COVID 19 pandemic The order which went into effect early Wednesday hours before it was announced means all travellers returning to Canada are now legally r 4839 chars 
Harry and Meghan move to Los Angeles reports CTV News,Harry and Meghan move to Los Angeles reports CTV News Meghan Markle Prince Harry Leave Canada For Los Angeles Reports Access Meghan Markle Must Really Like This Spring Dress Trend InStyle Meghan Markle s first post royal job will be in a Disney film Yah ,TORONTO Harry and Meghan have settled into self isolation in Los Angeles according to reports The Duke and Duchess of Sussex had been living on Vancouver Island when they announced earlier this year that they would be stepping back from the Royal Fami 1392 chars 
Coronavirus Canada s COVID 19 death toll surpasses 100 Global News,Coronavirus Canada s COVID 19 death toll surpasses 100 Global News Coronavirus outbreak Trudeau ministers address Canadians on COVID 19 response LIVE Global News Canada coronavirus deaths jump by 35 in less than a day Toronto Sun Everybody is susceptib ,Canada s death toll from the novel coronavirus has now surpassed 100 following an announcement of five more deaths in B C As of Tuesday Canada s COVID 19 death toll now sits at 101 while confirmed cases have now reached 8 579 The new numbers come amid a 4600 chars 
Canada to begin enforcing 14 day self isolation for travellers The Globe and Mail,Canada to begin enforcing 14 day self isolation for travellers The Globe and Mail Strict new mandatory quarantine rules come into effect at midnight for returning Canadians CBC ca Coronavirus outbreak Significant penalties if quarantines violated Canadian ,Health Minister Patty Hajdu responds to a question during a special sitting of Parliament in the House of Commons in the early hours Wednesday March 25 2020 in Ottawa Adrian Wyld The Canadian Press Health Minister Patty Hajdu is now exercising powers aff 4961 chars 
U S Canadian Border Closing For Nonessential Travel,The U S and Canada have agreed to temporarily close their shared border to nonessential travel President Donald Trump announced Wednesday, TORONTO The U S and Canada have agreed to temporarily close their shared border to nonessential travel President Donald Trump announced Wednesday as the two nations work to stem the spread of the coronavirus pandemic Both countries are eager to choke 3648 chars 
Coronavirus How long can Canadians expect to be social distancing Global News,Coronavirus How long can Canadians expect to be social distancing Global News The latest on the coronavirus Ontario records second pandemic death border restrictions to kick in Friday night PM says The Globe and Mail Ontario to waive three month OHIP wai ,For weeks health officials across the country have been urging Canadians to practise social distancing and avoid public gatherings in an attempt to limit the spread of the novel coronavirus The disease caused by the virus COVID 19 has infected more tha 6352 chars 
Trudeau to offer update on Canada s response to coronavirus pandemic Global News,Trudeau to offer update on Canada s response to coronavirus pandemic Global News Sophie Gr goire Trudeau says she has recovered from COVID 19 CBC ca Global National March 28 2020 Canada says COVID 19 measures working while U S crisis deepens Global News ,Prime Minister Justin Trudeau is expected to offer an update on Sunday on his government s response to the novel coronavirus pandemic According to his official itinerary Trudeau is scheduled to address Canadians at 11 15 a m ET from Rideau Cottage where h 2641 chars 
COVID 19 What s open and closed in B C as a result of the novel coronavirus Fernie Free Press,COVID 19 What s open and closed in B C as a result of the novel coronavirus Fernie Free Press View Full coverage on Google News,As COVID 19 cases continue to rise in Canada here s what s open closed and not advised especially in B C As of Sunday there were at least 313 cases in Canada 73 of those in B Lush closes all stores Natural bath skincare and cosmetics retailer Lush 3333 chars 
COVID 19 What s open and closed in B C as a result of the novel coronavirus Surrey Now Leader,COVID 19 What s open and closed in B C as a result of the novel coronavirus Surrey Now Leader B C VIEWS Effects of COVID 19 pandemic will be long lasting Victoria News COVID 19 What s open and closed in B C amid the novel coronavirus pandemic Nanaimo Ne ,As COVID 19 cases continue to rise in Canada here s what s open closed and not advised especially in B C As of Sunday there were at least 313 cases in Canada 73 of those in B Lush closes all stores Natural bath skincare and cosmetics retailer Lush 3333 chars 
COVID 19 What s open and closed in B C as a result of the novel coronavirus Goldstream News Gazette,COVID 19 What s open and closed in B C as a result of the novel coronavirus Goldstream News Gazette View Full coverage on Google News,As COVID 19 cases continue to rise in Canada here s what s open closed and not advised especially in B C As of Sunday there were at least 313 cases in Canada 73 of those in B C Aritzia shuts down stores The Canadian clothing retailer is shutting dow 3712 chars 
Border agency adds screening questions after complaints about airport disarray CTV News,Border agency adds screening questions after complaints about airport disarray CTV News CBSA officer at Toronto Pearson tests positive for COVID 19 CTV News Border agents to start warning all air travellers of 14 day isolation period The Globe and Mail CBSA s ,OTTAWA The Canada Border Services Agency announced new screening questions for travellers arriving Monday following a weekend of disarray at points of entry into the country especially airports While the federal government wants people returning to Ca 1851 chars 
TD Scotiabank Issue 11 Billion of Repo Eligible Bonds Yahoo Canada Finance, Bloomberg Toronto Dominion Bank priced the largest covered bond on record from a Canadian lender on Friday days after the country s central bank widened the range of securities it takes as guarantee for repurchase transactions Bank of Nova Scotia follo , Bloomberg Toronto Dominion Bank priced the largest covered bond on record from a Canadian lender on Friday days after the countrys central bank widened the range of securities it takes as guarantee for repurchase transactions Bank of Nova Scotia follow 1722 chars 
Sudbury man who attended Toronto convention confirmed as Ontario s 37th coronavirus case Global News,Sudbury man who attended Toronto convention confirmed as Ontario s 37th coronavirus case Global News Toronto man who returned from Switzerland is Ontario s 36th COVID 19 case CP24 Toronto s Breaking News New coronavirus case confirmed in Ontario durhamradione ,Health officials say that a man in his 50s who recently attended a convention in Toronto has been confirmed as the first case of COVID 19 in the Sudbury area bringing Ontario s total up to 37 An online statement from Public Health Sudbury amp Districts s 1560 chars 
PDAC mining conference goers asked to monitor for coronavirus symptoms after Sudbury area man tests positive Financial Post,PDAC mining conference goers asked to monitor for coronavirus symptoms after Sudbury area man tests positive Financial Post Sudbury man who attended Toronto conference has COVID 19 health officials CP24 Toronto s Breaking News Coronavirus update Man from Su ,Anyone who attended the Prospectors amp Developers Association of Canada 2020 convention in Toronto is being asked to monitor themselves for symptoms of the coronavirus after a man who attended was tested positive in the Sudbury area Dr Penny Sutcliffe 2354 chars 
Google debuts Works With Chromebook badge for accessories,If you ve ever bought a cable a charger or any other accessory that ended up incompatible with the device it s meant for you ll likely appreciate Google s latest Works With badge The tech giant has debuted the Works With Chromebook logo which can gi ,Google says all accessories with the badge have been tested and are guaranteed to comply with Chromebook s compatibility standards Thus far the company has certified products from several famous brands including Anker Kensington and Logitech Also certif 223 chars 
Toronto man who returned from Switzerland is Ontario s 36th COVID 19 case CP24 Toronto s Breaking News,Toronto man who returned from Switzerland is Ontario s 36th COVID 19 case CP24 Toronto s Breaking News Sudbury man who attended Toronto convention confirmed as Ontario s 37th coronavirus case Global News Ontario s 36th COVID 19 patient is a Toronto man who tr ,Public health officials confirmed one new case of the novel coronavirus in Ontario involving a Toronto man who recently returned to the province from Switzerland The news brings Ontarios total case count including recoveries to 36 with five people who hav 1191 chars 
Toronto York Region report first local COVID 19 related deaths CTV News,Toronto York Region report first local COVID 19 related deaths CTV News Coronavirus outbreak Ontario announces 308 total confirmed positive COVID 19 cases FULL Global News Three new cases of COVID 19 in Ottawa including girl under 18 CTV News Gatineau Pa ,TORONTO Health officials have reported the first COVID 19 related deaths in Toronto and York Region as the total number of cases in Ontario rises to 425 Toronto Public Health TPH said on Sunday that a man in his 70s was the city s first COVID 19 re 4291 chars 
Netflix pauses production on Stranger Things other shows due to coronavirus,TV and media giants including streaming services are feeling the effects of the global coronavirus pandemic According to The Hollywood Reporter and Deadline Netflix has put a pause on all scripted TV and film production for two weeks in the US and Canada ,The affected shows include viewer favorite Stranger Things which had to shut down its fourth season s production as well as supernatural detective series Lucifer and Groundhog Day esque comedy drama Russian Doll Shows being filmed outside the US and Canada 524 chars 
Coronavirus US wants 3M to end mask exports to Canada and Latin America ,Mask manufacturer 3M says the move would have significant humanitarian implications ,Image copyrightReuters A major US mask manufacturer 3M says the government has asked it to stop exporting US made N95 respirator masks to Canada and Latin America The request had significant humanitarian implications it warned and could prompt other 2329 chars 
 These kids are coming home Ford says there are plans to bring back Ontario students stranded in Peru CTV News, These kids are coming home Ford says there are plans to bring back Ontario students stranded in Peru CTV News Doug Ford says the COVID 19 fight depends on good data A Star analysis found problems with the government s case count Toronto Star Private compa ,TORONTO Premier Doug Ford says arrangements have been made to bring home a group of King City high school students who are stuck in Peru after the South American country closed its borders last weekend Speaking at Queens Park on Thursday Ford said pla 3127 chars 
Nova Scotia declares state of emergency identifies 7 more cases of COVID 19 CTV News,Nova Scotia declares state of emergency identifies 7 more cases of COVID 19 CTV News N S declares state of emergency in response to COVID 19 CBC ca The latest on the coronavirus Canada refuses to go to Olympics unless postponed Trudeau not at point of dec ,HALIFAX Nova Scotia Premier Stephen McNeil has officially declared a state of emergency in the province due to the COVID 19 pandemic Effective 6 a m Monday the borders of Nova Scotia will be tightened with screening processes at all points of entry 3439 chars 
Doctor describes dire situation in hospitals treating virus,Columbia University Medical Center s Dr Craig Spencer talks with CNN s Anderson Cooper about the dire situation facing hospitals as they try to treat patients with coronavirus ,Chat with us in Facebook Messenger Find out what s happening in the world as it unfolds 
